experiment_index,C_true,optimizer,run_time_seconds,best_start_index,nfev_best,success,symbolic_loss_at_recovered_x,exact_loss_at_recovered_x,exact_loss_at_true_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat_symbolic,Vs_hat_symbolic,sigma_hat_symbolic,Vp_hat_exact,Vs_hat_exact,sigma_hat_exact,selection_rule,best_symbolic_start_index,best_exact_start_index,best_symbolic_loss,exact_loss_of_best_symbolic_candidate,exact_refinement_enabled,exact_refinement_success,exact_refinement_nfev,symbolic_loss_before_refinement,exact_loss_before_refinement,use_exact_reranking,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,differential_evolution_polish,54.815794956999525,1,199,True,0.003599348308007677,103.6747866842321,7.241233230831627,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1314862215747,101.414808282585,0.29674208505951694,1411.2234801572727,73.83626984806686,0.2967415083249179,best_symbolic_loss,1,1,0.003599348308007677,103.6747866842321,False,False,0,0.003599348308007677,103.6747866842321,False,41.0,42.528107055071374,10.0,0.2932852058863055,90.0,92.38136752545572,0.5,0.5229086359554915,2.7,2.7617089543537725,1.5281070550713736,1.5281070550713736,-9.706714794113694,9.706714794113694,2.3813675254557154,2.3813675254557154,4.581727191098306,4.581727191098306,2.2855168279174936,2.2855168279174936
1,20.0,differential_evolution_polish,43.96202679800081,1,23,True,0.0011378455691737344,52.79229443759084,8.793601699780483,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7835596852722,95.8299433856107,0.31445151630946666,1178.4824533157714,72.73636415932934,0.3144517124180195,best_symbolic_loss,1,1,0.0011378455691737344,52.79229443759084,False,False,0,0.0011378455691737344,52.79229443759084,False,41.0,41.14086217159321,20.0,17.42600408764598,90.0,98.63999430039371,0.5,0.5912101002065615,2.7,2.8821004911843415,0.1408621715932128,0.1408621715932128,-2.5739959123540217,2.5739959123540217,8.63999430039371,8.63999430039371,18.2420200413123,18.2420200413123,6.7444626364570865,6.7444626364570865
2,30.0,differential_evolution_polish,46.36056707999887,1,21,True,4.6393810464451235e-05,19.885754624832874,7.570205179970362,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720164496881,90.89110815556,0.33493279966647516,1001.1273502374951,74.66089644730886,0.33493251302153476,best_symbolic_loss,1,1,4.6393810464451235e-05,19.885754624832874,False,False,0,4.6393810464451235e-05,19.885754624832874,False,41.0,40.67839962218591,30.0,31.424057407559967,90.0,92.3347109326078,0.5,0.5236153395138857,2.7,2.8795895004300895,-0.321600377814093,0.321600377814093,1.4240574075599675,1.4240574075599675,2.3347109326078055,2.3347109326078055,4.723067902777145,4.723067902777145,6.651462978892198,6.651462978892198
3,40.0,differential_evolution_polish,45.31857675199899,1,38,True,8.27727023420266e-05,17.351881437176402,26.685136711125928,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.112585659164,86.96953038874744,0.34544001010581754,886.6990721725721,73.0311883060111,0.345439965058482,best_symbolic_loss,1,1,8.27727023420266e-05,17.351881437176402,False,False,0,8.27727023420266e-05,17.351881437176402,False,41.0,42.651974404303544,40.0,30.610883629058023,90.0,94.57500399416267,0.5,0.5757878319727244,2.7,2.636069541197616,1.6519744043035445,1.6519744043035445,-9.389116370941977,9.389116370941977,4.575003994162671,4.575003994162671,15.157566394544887,15.157566394544887,-2.367794770458671,2.367794770458671
4,50.0,differential_evolution_polish,45.184407778000605,1,53,True,2.9865057653566396e-05,37.98419916961715,11.654733337750388,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841104160411,82.20582853631208,0.3682931480515952,721.7839798004176,78.1219261375102,0.368293343762139,best_symbolic_loss,1,1,2.9865057653566396e-05,37.98419916961715,False,False,0,2.9865057653566396e-05,37.98419916961715,False,41.0,40.012839624929605,50.0,58.809471868049314,90.0,93.93692411897995,0.5,0.5769948851395454,2.7,2.832089932458997,-0.9871603750703954,0.9871603750703954,8.809471868049314,8.809471868049314,3.9369241189799453,3.9369241189799453,15.398977027909089,15.398977027909089,4.892219720703585,4.892219720703585
5,60.0,differential_evolution_polish,44.02913476300091,1,34,True,0.00036984101066117603,40.26146718418919,21.55354750730697,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4189392470842,78.23744036489734,0.39579517686171695,604.9732893597953,76.4218084228771,0.3957955422631672,best_symbolic_loss,1,1,0.00036984101066117603,40.26146718418919,False,False,0,0.00036984101066117603,40.26146718418919,False,41.0,41.55179920043558,60.0,62.79439544613125,90.0,94.91857593336178,0.5,0.5919311174269697,2.7,2.6310958502027293,0.5517992004355818,0.5517992004355818,2.7943954461312472,2.7943954461312472,4.91857593336178,4.91857593336178,18.386223485393938,18.386223485393938,-2.55200554804707,2.55200554804707
6,70.0,differential_evolution_polish,45.86221644500074,1,55,True,0.002991399270770856,27.87435473296022,9.109419362962832,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1483736683161,73.60714503908662,0.4257743921974544,560.4795424733901,78.81103071776269,0.4257755582696846,best_symbolic_loss,1,1,0.002991399270770856,27.87435473296022,False,False,0,0.002991399270770856,27.87435473296022,False,41.0,38.99368456809109,70.0,86.51293549150488,90.0,99.55244733030922,0.5,0.6392734576354052,2.7,2.8288934100903167,-2.0063154319089094,2.0063154319089094,16.512935491504876,16.512935491504876,9.55244733030922,9.55244733030922,27.854691527081044,27.854691527081044,4.773830003345056,4.773830003345056
7,80.0,differential_evolution_polish,43.68608449199928,1,10,True,0.0017941760145063768,37.866325348113826,8.04197546893024,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.8275637113902,69.77313314722733,0.45611477547434703,476.2470470981762,78.05958658540315,0.4561151896733134,best_symbolic_loss,1,1,0.0017941760145063768,37.866325348113826,False,False,0,0.0017941760145063768,37.866325348113826,False,41.0,38.78670728882716,80.0,98.99388401226936,90.0,91.06443667554927,0.5,0.5339224166427612,2.7,2.794011973357939,-2.2132927111728407,2.2132927111728407,18.993884012269362,18.993884012269362,1.064436675549274,1.064436675549274,6.784483328552238,6.784483328552238,3.481924939182917,3.481924939182917
8,90.0,differential_evolution_polish,48.94217161800043,1,70,True,0.0013140404197997668,34.332024684305146,4.824845923925038,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.5770593310468,65.40863581890903,0.48178201254738084,407.0986844874819,73.26324526543179,0.48178142140119473,best_symbolic_loss,1,1,0.0013140404197997668,34.332024684305146,False,False,0,0.0013140404197997668,34.332024684305146,False,41.0,40.862513026493914,90.0,96.73244659716353,90.0,83.1667464452334,0.5,0.4397070423302081,2.7,2.600078612750487,-0.13748697350608552,0.13748697350608552,6.7324465971635306,6.7324465971635306,-6.8332535547666,6.8332535547666,-12.058591533958385,12.058591533958385,-3.700792120352335,3.700792120352335
9,100.0,differential_evolution_polish,46.74943395399896,1,62,True,0.0021786250137987295,33.59424713783507,2.7196157841089157,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7960181234506,60.464641308995624,0.5035535990032718,351.0997668486769,67.36460665827074,0.5035541293091949,best_symbolic_loss,1,1,0.0021786250137987295,33.59424713783507,False,False,0,0.0021786250137987295,33.59424713783507,False,41.0,41.966369986475996,100.0,98.85530764510058,90.0,92.16057497071886,0.5,0.5368490329003497,2.7,2.5100897868705854,0.9663699864759963,0.9663699864759963,-1.1446923548994192,1.1446923548994192,2.160574970718855,2.160574970718855,7.3698065800699375,7.3698065800699375,-7.033711597385733,7.033711597385733
