experiment_index,C_true,optimizer,run_time_seconds,best_start_index,nfev_best,success,symbolic_loss_at_recovered_x,exact_loss_at_recovered_x,exact_loss_at_true_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat_symbolic,Vs_hat_symbolic,sigma_hat_symbolic,Vp_hat_exact,Vs_hat_exact,sigma_hat_exact,selection_rule,best_symbolic_start_index,best_exact_start_index,best_symbolic_loss,exact_loss_of_best_symbolic_candidate,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,symbolic_least_squares,7.222123970001121,4,11,True,23.4286466375008,143.40326927622027,7.241233230831627,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1329.3619792838874,119.07420710728731,0.2967450263512968,1460.5261322974397,91.16362405860241,0.2900679392893346,best_exact_loss_among_symbolic_candidates,2,4,23.42864661167366,170.58121531890106,41.0,41.83877248448238,10.0,2.135256176704363e-14,90.0,98.08587233971576,0.5,0.5820212724746283,2.7,2.7072660147410854,0.8387724844823765,0.8387724844823765,-9.999999999999979,9.999999999999979,8.085872339715763,8.085872339715763,16.404254494925663,16.404254494925663,0.26911165707723095,0.26911165707723095
1,20.0,symbolic_least_squares,52.75234337299844,1,87,True,1.1724624808806539e-06,93.96454249674483,8.793601699780483,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.783679512197,95.82950439162043,0.3144520897185692,1210.5033271188158,64.2724622431931,0.3137734069365066,best_exact_loss_among_symbolic_candidates,2,1,1.7023353393597063e-08,147.627321634755,41.0,42.89953351622738,20.0,8.779928450896852,90.0,99.3918666369226,0.5,0.614896002136464,2.7,2.762220323716444,1.899533516227379,1.899533516227379,-11.220071549103148,11.220071549103148,9.3918666369226,9.3918666369226,22.979200427292803,22.979200427292803,2.3044564339423634,2.3044564339423634
2,30.0,symbolic_least_squares,36.139599469999666,2,58,True,3.131711672210713e-07,16.44857550392488,7.570205179970362,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261404424,90.89107308657066,0.33493279748206395,997.7569735170042,79.92434338325047,0.32920265775951146,best_exact_loss_among_symbolic_candidates,4,2,5.042316786330048e-09,82.17234022063934,41.0,43.14482380862375,30.0,20.51999788511637,90.0,96.84656984902963,0.5,0.6070740574816216,2.7,2.5475375512495813,2.144823808623748,2.144823808623748,-9.480002114883629,9.480002114883629,6.846569849029635,6.846569849029635,21.414811496324315,21.414811496324315,-5.646757361126626,5.646757361126626
3,40.0,symbolic_least_squares,97.4520240439997,2,391,True,2.7667088531302397e-07,45.79154349354293,26.685136711125928,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.112597317341,86.96948306116244,0.34544003816034224,860.1697299541846,72.87915527696359,0.34335448985792916,best_exact_loss_among_symbolic_candidates,3,2,3.957909555651895e-09,55.17631871013445,41.0,43.37120038183213,40.0,29.179733363659327,90.0,98.54266257557727,0.5,0.6423852397285534,2.7,2.550174430087257,2.371200381832132,2.371200381832132,-10.820266636340673,10.820266636340673,8.542662575577268,8.542662575577268,28.477047945710687,28.477047945710687,-5.549095181953447,5.549095181953447
4,50.0,symbolic_least_squares,102.44517949999863,0,110,True,1.6110661782420266e-07,33.626860477336955,11.654733337750388,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064282554,82.20584194283202,0.3682931310695767,753.1418166126371,51.51684720971986,0.36775735330388537,best_exact_loss_among_symbolic_candidates,5,0,8.539888796121886e-10,104.89431180140181,41.0,43.69190044482677,50.0,40.705218563682024,90.0,99.90003588187616,0.5,0.6690878233621806,2.7,2.7,2.6919004448267714,2.6919004448267714,-9.294781436317976,9.294781436317976,9.900035881876164,9.900035881876164,33.81756467243613,33.81756467243613,0.0,0.0
5,60.0,symbolic_least_squares,58.47505527500107,0,84,True,6.497680615780155e-08,78.28146145484992,21.55354750730697,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947410249,78.23760133494599,0.39579543424399793,687.2270035758161,46.219354975915095,0.3919864244541816,best_exact_loss_among_symbolic_candidates,9,0,1.3455105474236007e-08,98.2183348817289,41.0,44.011184179818734,60.0,50.988651214094396,90.0,99.9421390846824,0.5,0.6746027820871052,2.7,2.7,3.011184179818734,3.011184179818734,-9.011348785905604,9.011348785905604,9.942139084682395,9.942139084682395,34.92055641742105,34.92055641742105,0.0,0.0
6,70.0,symbolic_least_squares,67.9774643769997,8,137,True,3.1125858281910723e-06,68.4016333253339,9.109419362962832,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949727077,73.60742158676543,0.4257791658502684,538.0901004856672,54.06514678091612,0.4189978730598048,best_exact_loss_among_symbolic_candidates,2,8,4.441309542357885e-09,115.479412159466,41.0,44.403067374021745,70.0,55.753169652880445,90.0,99.60258423350297,0.5,0.6489300945343964,2.7,2.537063587615648,3.403067374021745,3.403067374021745,-14.246830347119555,14.246830347119555,9.602584233502967,9.602584233502967,29.786018906879285,29.786018906879285,-6.034681940161192,6.034681940161192
7,80.0,symbolic_least_squares,95.58765588800088,9,98,True,1.6484617798795398e-05,60.89394506553232,8.04197546893024,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.8273021314733,69.77399256008486,0.45611614625829594,489.72810095160685,30.522326046021202,0.444868620369331,best_exact_loss_among_symbolic_candidates,5,9,1.7824159925794447e-09,103.09297899796779,41.0,44.79670041724226,80.0,62.99938834925961,90.0,99.81253502068343,0.5,0.6448686524048316,2.7,2.8284790327570093,3.7967004172422634,3.7967004172422634,-17.00061165074039,17.00061165074039,9.812535020683427,9.812535020683427,28.97373048096632,28.97373048096632,4.758482694704041,4.758482694704041
8,90.0,symbolic_least_squares,78.24910538900076,7,154,True,1.1967940633184071e-05,82.63041452796739,4.824845923925038,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.57677879496435,65.40962030747656,0.4817821025408993,488.00749945757156,44.8718178958211,0.46463091560589426,best_exact_loss_among_symbolic_candidates,8,7,5.316795892440496e-09,106.56366208371566,41.0,45.29497336648496,90.0,69.73809792258399,90.0,99.91374330029463,0.5,0.651166743506579,2.7,2.5054342828785434,4.29497336648496,4.29497336648496,-20.26190207741601,20.26190207741601,9.913743300294627,9.913743300294627,30.233348701315798,30.233348701315798,-7.206137671165064,7.206137671165064
9,100.0,symbolic_least_squares,83.09741339500033,2,113,True,4.544286318797219e-06,90.19243613660589,2.7196157841089157,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7955403303125,60.466271029146064,0.5035537679280063,330.80865206699053,32.720726015112945,0.4671837883654146,best_exact_loss_among_symbolic_candidates,8,2,5.497824417943775e-13,95.61513345556948,41.0,45.88848139377794,100.0,74.36472753744467,90.0,94.92496203293076,0.5,0.6140375908834368,2.7,2.61633875120265,4.888481393777937,4.888481393777937,-25.635272462555335,25.635272462555335,4.924962032930765,4.924962032930765,22.80751817668736,22.80751817668736,-3.0985647702722234,3.0985647702722234
