C_true,phi_true,phi_pred_from_clean_y,phi_error_clean,phi_abs_error_clean,phi_pred_from_noisy_y_obs,phi_error_noisy,phi_abs_error_noisy,Vp_obs,Vs_obs,sigma_obs
10.0,41.0,37.862487094445925,-3.1375129055540754,3.1375129055540754,37.859963350592935,-3.1400366494070653,3.1400366494070653,1335.1314325092733,101.4150136983118,0.2967450263485323
20.0,41.0,38.25108706626625,-2.748912933733749,2.748912933733749,38.235818526525755,-2.7641814734742454,2.7641814734742454,1148.7836795398252,95.82950427289062,0.3144520887039558
30.0,41.0,38.597130658009064,-2.402869341990936,2.402869341990936,38.58165970205288,-2.4183402979471182,2.4183402979471182,997.4720261403008,90.89107308933184,0.3349327978301229
40.0,41.0,38.92004114598061,-2.079958854019388,2.079958854019388,38.86663517591596,-2.1333648240840404,2.1333648240840404,890.1125973178569,86.969483061019,0.3454400384897037
50.0,41.0,39.23326169920344,-1.7667383007965611,1.7667383007965611,39.22537790081103,-1.7746220991889672,1.7746220991889672,755.6841064176893,82.20584198822812,0.3682931312121945
60.0,41.0,39.547529286842355,-1.4524707131576449,1.4524707131576449,39.53598613688895,-1.4640138631110489,1.4640138631110489,643.4188947408819,78.23760133590439,0.3957954343440613
70.0,41.0,39.87271446501998,-1.1272855349800182,1.1272855349800182,39.91352262661227,-1.08647737338773,1.08647737338773,583.1482949937223,73.60742152026621,0.425779171334358
80.0,41.0,40.219181195971906,-0.7808188040280939,0.7808188040280939,40.23950480626647,-0.7604951937335329,0.7604951937335329,505.827302383027,69.7739917110138,0.4561161782634556
90.0,41.0,40.59919750044974,-0.4008024995502595,0.4008024995502595,40.6271017255705,-0.3728982744295024,0.3728982744295024,433.57677899010906,65.40961964090262,0.4817821283199962
100.0,41.0,41.02892976961083,0.02892976961083349,0.02892976961083349,41.089833996180666,0.08983399618066557,0.08983399618066557,377.7955403430249,60.46627101580325,0.5035537793847225
